,Q1,Q2,Q3,Q4,Q5,LS
20210311,0.2807346120469358,0.4344626975149563,0.37985271337150905,0.33116534653450025,0.3886007433994546,0.9317282772553573
20210312,0.28705940170014005,0.44039994051682596,0.38471202175055674,0.3321261541986555,0.38866954974640155,0.910901947514598
20210315,0.29564682738879183,0.45261472983953815,0.39162174543713113,0.336608737663533,0.3989826894310813,0.9078224755974996
20210316,0.2965842541040823,0.45844838152707024,0.3933734769587135,0.3366615375063997,0.40610115563477717,0.921140935906257
20210317,0.30325651740399284,0.47195577134262934,0.40085475806633664,0.3408683894781055,0.4123616706943261,0.9146184494452351
20210318,0.3154245491033023,0.49108555477520754,0.41282402275020064,0.34887913788624114,0.42243134159075435,0.9002543310126171
20210319,0.325789882020909,0.5075505736880368,0.4244060482629971,0.357636767349868,0.43942537923963426,0.9068870294381038
20210322,0.3300928109678575,0.512996212823001,0.4299648915601952,0.358205381163424,0.45156538160015236,0.9199637171514109
20210323,0.3377141548960382,0.5243066054786619,0.44057706811286057,0.36617277260327974,0.47308172815522814,0.9425579014791468
20210324,0.34273546271533734,0.5341591570161367,0.4472570006196585,0.3750325272354011,0.5073246124490197,0.9967682547885814
20210325,0.34550567849838215,0.5437418741378169,0.45634812682082687,0.38371370741484995,0.5414925219013218,1.0558432611048654
20210326,0.3407222771766926,0.5446626639336997,0.45863621438878427,0.38595639855945446,0.5634092194598704,1.113195871784842
20210329,0.33729576494083224,0.5462508963739656,0.46108550293028266,0.3867929785827497,0.5889809442829436,1.174916008012425
20210330,0.3383885770874988,0.5533339236390352,0.4662292912248741,0.38959446153081023,0.6104872811829689,1.2140108262070866
20210331,0.3340541438946524,0.5524231722501056,0.4648487984876081,0.3891333016477808,0.6367656931572867,1.2818182108544585
20210401,0.3304571167690871,0.5510103916623399,0.4661235185630765,0.3901127293498103,0.6609968566300096,1.3443982384470003
20210402,0.3241424591998639,0.5461821388221927,0.46719757990795874,0.39042326038832226,0.6759139800734103,1.4004280148573869
20210406,0.31589805197883086,0.5427864059494647,0.4662359130821569,0.3889598818703642,0.6886168848713187,1.462366409465885
